unitcode,unitname,semester,type,level,major,credit_points,points_req,enrolment_req,incompatible_units,corequisites
MECH3424,Measurement and Instrumentation,S2,CORE_SP-EAUTO;CORE_SP-EBIOM,3,,6,,,MECH4424,
MECH4426,"Dynamics, Vibration and Sound",S1,CORE_SP-EMECH,4,SP-EMECH,6,,BH011;62550,,
MECH4428,Degradation of Materials,S1,GROUP_B_SP-EMECH,4,SP-EMECH,6,96,BH011;62550,,
MECH4429,Applied Engineering Thermodynamics,S1,CORE_SP-EMECH,4,SP-EMECH,6,,BH011;62550,,
MECH4502,Analysis and Design of Machine Components,S2,CORE_SP-EMECH,4,SP-EMECH,6,,BH011,MECH5502,
MECH5504,Design and Failure Analysis of Materials,S2,GROUP_B_SP-EMECH,5,SP-EMECH,6,120,BH011;62550,,
MECH5551,Mechanical Engineering Design Project 1,S1,CORE_SP-EMECH,5,SP-EMECH,6,,BH011;62550,,MECH4429
MECH5552,Mechanical Engineering Design Project 2,S2,GROUP_A_SP-EMECH,5,SP-EMECH,6,,BH011;62550,,GENG5505
MINE2001,Fundamentals of Mining Engineering,S2,CORE_SP-EMINE,2,,6,,,ENSC3011,
MINE3401,Underground Mining 1,S1,CORE_SP-EMINE,3,,6,,,MINE4401,
MINE3404,Rock Mechanics,S2,CORE_SP-EMINE,3,,6,,,MINE4404,
MINE3405,Mineral Resources,S1,CORE_SP-EMINE,3,,6,,,MINE4405,
MINE3406,Geotechnology of Mine Waste,NS,CORE_SP-EMINE,3,,6,,,MINE4406,
MINE3503,Surface Mining,S1,CORE_SP-EMINE,3,,6,,,MINE4503,
MINE4001,Mining Engineering Services,NS,CORE_SP-EMINE,4,,6,,,,
MINE4502,Underground Mining 2,S2,CORE_SP-EMINE,4,,6,,,MINE5502,
MINE5501,Mining Management,S1,CORE_SP-EMINE,5,,6,,,,
MINE5551,Mining Engineering Design Project 1,S2,CORE_SP-EMINE,5,,6,,,,
PHYL2002,Physiology of Cells,S2,CORE_SP-EBIOM,2,,6,,,,
PHYS1001,Physics for Scientists and Engineers,BOTH,CORE_SP-EMECH;CORE_SP-ESOFT;CORE_SP-ECHEM;CORE_SP-EBIOM;CORE_SP-ECIVL;CORE_SP-EELEC;CORE_SP-EENVI;CORE_SP-EMINE,1,SP-EMECH;SP-ESOFT,6,,,,ATAR_SPEC;MATH1722
PHYS1030,Physics Bridging Unit,BOTH,BRIDGING,1,,6,,,PHYS1001;PHYS1002;PHYS1100;PHYS1200,
PHYS2003,Physics for Electrical Engineers,S1,CORE_SP-EELEC,2,,6,,,PHYS2001,
STAT2063,Probabilistic Methods and their Applications,S1,CORE_SP-EELEC,2,,6,,,STAT2062,
