child_unit,relationship,rel_type,year,parent_unit
CHPR3407,REQUIRES,AND,2023,CHPR2007
CHPR3407,REQUIRES,OR,2023,MECH3024
CHPR4501,REQUIRES,AND,2023,CHPR3406
CHPR4501,REQUIRES,AND,2023,CHPR2007
CHPR5550,REQUIRES,AND,2023,CHPR3019
CHPR5550,REQUIRES,AND,2023,CHPR3018
CHPR5550,REQUIRES,AND,2023,GENG3000
CHPR5550,REQUIRES,AND,2023,CHPR3406
CHPR4408,REQUIRES,AND,2023,GENG2003
CHPR4408,REQUIRES,AND,2023,CHPR2007
CHPR5520,REQUIRES,AND,2023,CHPR3406
CHPR5521,REQUIRES,AND,2023,CHPR3404
CHPR5522,REQUIRES,AND,2023,CHPR3404
GENG5516,REQUIRES,AND,2023,CHPR2006
ENVE4401,REQUIRES,OR,2023,GENG2010
ENVE4401,REQUIRES,OR,2023,GENG2003
GENG4403,REQUIRES,OR,2023,ENSC1004
GENG4403,REQUIRES,OR,2023,MINE2001
GENG5506,REQUIRES,AND,2023,ENSC2003
GENG5506,REQUIRES,AND,2023,MATH1012
ELEC2311,REQUIRES,AND,2023,ELEC1303
MECH2004,REQUIRES,AND,2023,ENSC2004
AUTO3002,REQUIRES,AND,2023,ELEC3020
AUTO3002,REQUIRES,OR,2023,ENSC3020
AUTO3002,REQUIRES,AND,2023,GENG2000
CITS3001,REQUIRES,AND,2023,CITS2200
ELEC3016,REQUIRES,AND,2023,MATH1012
ELEC3016,REQUIRES,AND,2023,ENSC2003
AUTO4507,REQUIRES,AND,2023,CITS1001
AUTO4507,REQUIRES,OR,2023,CITS1401
AUTO4507,REQUIRES,OR,2023,CITS2401
AUTO4507,REQUIRES,AND,2023,MECH3001
AUTO4507,REQUIRES,OR,2023,ELEC3020
AUTO4508,REQUIRES,AND,2023,CITS1001
AUTO4508,REQUIRES,OR,2023,CITS1401
AUTO4508,REQUIRES,OR,2023,CITS2002
AUTO4508,REQUIRES,OR,2023,CITS2401
CITS4402,REQUIRES,AND,2023,CITS2401
CITS4402,REQUIRES,OR,2023,CITS1401
CITS4402,REQUIRES,AND,2023,MATH1012
ELEC5506,REQUIRES,AND,2023,GENG3402
GENG4412,REQUIRES,AND,2023,GENG4511
BMEG3001,REQUIRES,AND,2023,ENSC1004
BMEG3001,REQUIRES,AND,2023,ENSC2004
BMEG3001,REQUIRES,AND,2023,PHYL2002
BMEG3002,REQUIRES,AND,2023,MECH2002
ELEC3021,REQUIRES,AND,2023,MATH1011
ELEC3021,REQUIRES,AND,2023,ENSC2003
BMEG4001,REQUIRES,AND,2023,MECH3424
BMEG4003,REQUIRES,AND,2023,BMEG3001
BMEG5001,REQUIRES,AND,2023,BMEG3001
BMEG5551,REQUIRES,AND,2023,GENG3000
BMEG5551,REQUIRES,AND,2023,BMEG3001
BMEG5552,REQUIRES,AND,2023,BMEG5551
CIVL2008,REQUIRES,AND,2023,MATH1011
CIVL2008,REQUIRES,AND,2023,ENSC2004
GENG2009,REQUIRES,AND,2023,MATH1011
GENG2009,REQUIRES,AND,2023,MATH1012
GENG2009,REQUIRES,AND,2023,PHYS1001
GENG2010,REQUIRES,AND,2023,MATH1011
GENG2010,REQUIRES,AND,2023,MATH1012
GENG2012,REQUIRES,AND,2023,MATH1012
GENG2012,REQUIRES,AND,2023,CITS2401
CIVL3401,REQUIRES,AND,2023,GENG2009
CIVL3402,REQUIRES,AND,2023,GENG2010
CIVL3402,REQUIRES,OR,2023,GENG2003
CIVL3403,REQUIRES,AND,2023,GENG2004
CIVL3403,REQUIRES,AND,2023,GENG1000
CIVL3404,REQUIRES,AND,2023,GENG2004
CIVL4430,REQUIRES,AND,2023,MATH1011
CIVL4430,REQUIRES,AND,2023,CITS2401
CIVL5550,REQUIRES,AND,2023,GENG3000
CIVL5550,REQUIRES,AND,2023,CIVL4430
CIVL5552,REQUIRES,AND,2023,GENG3000
CIVL5552,REQUIRES,AND,2023,CIVL3404
CIVL5501,REQUIRES,AND,2023,GENG2004
CIVL5503,REQUIRES,AND,2023,CIVL3401
CIVL5504,REQUIRES,AND,2023,GENG2004
CIVL5504,REQUIRES,AND,2023,GENG2003
CIVL5504,REQUIRES,OR,2023,GENG2010
CIVL5505,REQUIRES,AND,2023,GENG2004
CIVL5505,REQUIRES,AND,2023,GENG2003
CIVL5505,REQUIRES,OR,2023,GENG2010
ENVE3402,REQUIRES,AND,2023,GENG1014
GENG5501,REQUIRES,AND,2023,GENG2003
GENG5501,REQUIRES,OR,2023,GENG2010
GENG5502,REQUIRES,AND,2023,GENG2009
GENG5514,REQUIRES,AND,2023,GENG2010
GENG5514,REQUIRES,OR,2023,GENG2003
PHYS2003,REQUIRES,AND,2023,MATH1011
PHYS2003,REQUIRES,AND,2023,MATH1012
PHYS2003,REQUIRES,AND,2023,PHYS1001
ELEC3014,REQUIRES,AND,2023,MATH1012
ELEC3014,REQUIRES,AND,2023,PHYS1001
ELEC3014,REQUIRES,AND,2023,ENSC2003
ELEC3015,REQUIRES,AND,2023,MATH1012
ELEC3015,REQUIRES,AND,2023,CITS2401
ELEC3015,REQUIRES,AND,2023,ENSC2003
ELEC4401,REQUIRES,AND,2023,ELEC3021
ELEC4401,REQUIRES,AND,2023,MATH3023
ELEC4402,REQUIRES,AND,2023,STAT2063
ELEC4402,REQUIRES,AND,2023,ENSC3015
ELEC4402,REQUIRES,AND,2023,MATH3023
ELEC4404,REQUIRES,AND,2023,STAT2063
ELEC4404,REQUIRES,AND,2023,ELEC3015
ELEC4404,REQUIRES,AND,2023,CITS2401
ELEC4407,REQUIRES,AND,2023,MATH3023
ELEC4407,REQUIRES,AND,2023,PHYS2003
ELEC4407,REQUIRES,AND,2023,ELEC3021
ELEC4505,REQUIRES,AND,2023,ELEC3016
ELEC5552,REQUIRES,AND,2023,GENG3000
ENVE2013,REQUIRES,AND,2023,MATH1012
ENVE2606,REQUIRES,AND,2023,GENG1010
ENVE2606,REQUIRES,AND,2023,GENG1000
ENVE2606,REQUIRES,AND,2023,GENG1014
ENVE2607,REQUIRES,AND,2023,GENG1014
ENVT2251,REQUIRES,AND,2023,EART1105
ENVT2251,REQUIRES,OR,2023,ENVT1104
ENVT2251,REQUIRES,OR,2023,GEOG1103
ENVT2251,REQUIRES,OR,2023,GENG1014
ENVE3403,REQUIRES,AND,2023,GENG2010
ENVE3403,REQUIRES,AND,2023,GENG2003
ENVE3405,REQUIRES,AND,2023,GENG1014
ENVE3405,REQUIRES,AND,2023,ENVE2607
ENVE3608,REQUIRES,AND,2023,GENG2012
ENVE3609,REQUIRES,AND,2023,ENVE2606
ENVE3609,REQUIRES,AND,2023,GENG2000
ENVE4601,REQUIRES,AND,2023,ENVE2607
ENVE4601,REQUIRES,AND,2023,ENVE4401
ENVE4601,REQUIRES,AND,2023,ENVE3403
ENVE5502,REQUIRES,AND,2023,GENG2010
ENVE5502,REQUIRES,OR,2023,GENG2003
ENVE5551,REQUIRES,AND,2023,ENVE3609
ENVE5551,REQUIRES,AND,2023,GENG3000
ENVE5552,REQUIRES,AND,2023,ENVE5551
MINE2001,REQUIRES,AND,2023,GENG1000
MINE2001,REQUIRES,AND,2023,GENG1014
MINE3401,REQUIRES,AND,2023,MINE2001
MINE3404,REQUIRES,AND,2023,GENG2009
MINE3404,REQUIRES,AND,2023,GENG2004
MINE3404,REQUIRES,AND,2023,MINE2001
MINE3405,REQUIRES,AND,2023,GENG2000
MINE3405,REQUIRES,AND,2023,MINE2001
MINE3406,REQUIRES,AND,2023,GENG2009
MINE3406,REQUIRES,AND,2023,MINE2001
MINE3503,REQUIRES,AND,2023,MINE2001
MINE4001,REQUIRES,AND,2023,GENG3000
MINE4001,REQUIRES,AND,2023,MINE3401
MINE4001,REQUIRES,AND,2023,MINE3503
MINE4502,REQUIRES,AND,2023,MINE3401
MINE4502,REQUIRES,AND,2023,MINE3405
MINE5501,REQUIRES,AND,2023,MINE3503
MINE5501,REQUIRES,AND,2023,MINE3401
MINE5551,REQUIRES,AND,2023,GENG3000
MINE5551,REQUIRES,AND,2023,MINE3401
MINE5551,REQUIRES,AND,2023,MINE3405
MINE5551,REQUIRES,AND,2023,MINE3503
